1kP_Sample	Clade	Family	Species	Tissue Type	Status	Voucher Data	Sample Provider	RNA Extractor
IANR	Core Eudicots/Rosids	Rosaceae	Rosa palustris		sequenced		J. Leebens-Mack	J. Leebens-Mack
QNOC	Core Eudicots/Rosids	Rosaceae	Sanguisorba minor	young leaves	sequenced	Chase 38771	D. Soltis	D. Soltis
DHAW	Core Eudicots/Rosids	Rosaceae	Geum quellyon	young leaves	sequenced	Chase 38770	D. Soltis	D. Soltis
NCVK	Core Eudicots/Rosids	Rosaceae	Prunus prostrata	young leaves	sequenced	Chase 38785	D. Soltis	D. Soltis
TJQY	Core Eudicots/Rosids	Rosaceae	Kerria japonica	young leaves	sequenced	Chase 38777	D. Soltis	D. Soltis
VCIN	Core Eudicots/Rosids	Rosaceae	Malus baccata var. jackii	young leaves	sequenced	Chase 38773	D. Soltis	D. Soltis
BLVL	Core Eudicots/Rosids	Rosaceae	Sorbus koehneana	young leaves	sequenced	Chase 38774	D. Soltis	D. Soltis
EAVM	Core Eudicots/Rosids	Rosaceae	Amelanchier canadensis	young leaves	sequenced	Chase 38778	D. Soltis	D. Soltis
QIEH	Core Eudicots/Rosids	Rosaceae	Cotoneaster transcaucasicus	young leaves	sequenced	Chase 38779	D. Soltis	D. Soltis
SXCE	Core Eudicots/Rosids	Rosaceae	Physocarpus opulifolius	young leaves	sequenced	Chase 38776	D. Soltis	D. Soltis
ZPKK	Core Eudicots/Rosids	Rosaceae	Aruncus dioicus	young leaves	sequenced	Chase 38772	D. Soltis	D. Soltis
SQCF	Core Eudicots/Rosids	Rosaceae	Dryas octopetala	young leaves	sequenced	Chase 38781	D. Soltis	D. Soltis
XFFT	Core Eudicots/Rosids	Rosaceae	Cercocarpus ledifolius	young leaves	sequenced	Chase 38780	D. Soltis	D. Soltis
CQMG	Core Eudicots/Rosids	Ulmaceae	Ulmus alata alata	leaves	sequenced	Soltis and Miles 2779	D. Soltis	BGI
ACFP	Core Eudicots/Rosids	Urticaceae	Boehmeria nivea	shoot apex including nascent leaves and woody stem	sequenced	132720 (ALTA)	M. Deyholos	M. Deyholos
WKCY	Core Eudicots/Rosids	Urticaceae	Urtica dioica	leaf	sequenced	132766 (ALTA)	M. Deyholos	Yu Yang
WWKL	Core Eudicots/Rosids	Tapisciaceae	Tapiscia sinensis	young shoot	sequenced	B.C. Zhuang & C. Gallant bg427/35230 (UBC)	D. W. Stevenson	BGI
HYZL	Core Eudicots/Rosids	Akaniaceae	Akania lucens		sequenced		J. Leebens-Mack	J. Leebens-Mack
DZTK	Core Eudicots/Rosids	Bataceae	Batis maritima	leaves	sequenced	Soltis and Miles 2710	D. Soltis	BGI
IPWB	Core Eudicots/Rosids	Brassicaceae	Brassica nigra	young leaves	sequenced	PPE-2012-1000-0001 (UMO)	J. C. Pires	C. Pires
VMNH	Core Eudicots/Rosids	Brassicaceae	Sinapis alba	leaves and buds	sequenced	M. Nelson & H. Liu: 'Viscount' (UWA)	M. Nelson	M. Nelson
CSUV	Core Eudicots/Rosids	Brassicaceae	Cochlearia officinalis		sequenced	CheesemanUIUC010	J. Cheeseman	J. Cheeseman
TZWR	Core Eudicots/Rosids	Brassicaceae	Arabis alpina	young leaves	sequenced	PPE-2012-1000-0003 (UMO)	J. C. Pires and P. Edgar	J. C. Pires and P. Edgar
HABV	Core Eudicots/Rosids	Brassicaceae	Draba aizoides	fresh young leaves 	sequenced	M. Koch 999773_E1_2 	M. Koch	I. Jordan-Thaaden
UVQL	Core Eudicots/Rosids	Brassicaceae	Draba magellanica	fresh young leaves  	sequenced	M. Koch 916266_SA2_9 	M. Koch	I. Jordan-Thaaden
BXBF	Core Eudicots/Rosids	Brassicaceae	Draba sachalinensis	fresh young leaves 	sequenced	M. Koch 916893_AS3 	M. Koch	I. Jordan-Thaaden
GTSV	Core Eudicots/Rosids	Brassicaceae	Draba hispida	fresh young leaves 	sequenced	M. Koch 916263_C4_15_3 	M. Koch	I. Jordan-Thaaden
LAPO	Core Eudicots/Rosids	Brassicaceae	Draba oligosperma	fresh young leaves 	sequenced	M. Koch 913843_NA2 	M. Koch	I. Jordan-Thaaden
LJQF	Core Eudicots/Rosids	Brassicaceae	Draba ossetica	fresh young leaves 	sequenced	M. Koch 910789_C5_1 	M. Koch	I. Jordan-Thaaden
QSKP	Core Eudicots/Rosids	Cleomaceae	Polanisia trachysperma	young leaves	sequenced	PPE-2012-1000-0002 (UMO)	J. C. Pires	C. Pires
HELY	Core Eudicots/Rosids	Cleomaceae	Cleome violacea	leaves	sequenced	PPE-2012-1000-0004 (UMO)	J. C. Pires and P. Edgar	J. C. Pires and P. Edgar
EZXQ	Core Eudicots/Rosids	Cleomaceae	Cleome violacea	leaves	sequenced	PPE-2012-1000-0004 (UMO)	J. C. Pires and P. Edgar	J. C. Pires and P. Edgar
ZLOA	Core Eudicots/Rosids	Cleomaceae	Cleome gynandra	juvenile leaf	sequenced		J. Hibberd	J. Hibberd
MBQU	Core Eudicots/Rosids	Cleomaceae	Cleome gynandra	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
UPZX	Core Eudicots/Rosids	Cleomaceae	Cleome viscosa	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
UAXP	Core Eudicots/Rosids	Gyrostemonaceae	Gyrostemon ramulosus	leaves and fruit	sequenced	M.D. Barrett 3202 (Perth)	A. Smithson	A. Smithson
JOIS	Core Eudicots/Rosids	Koeberliniaceae	Koeberlinia spinosa	young leaves	low quality	PPE-2012-1000-0005 (UMO)	J. C. Pires and P. Edgar	J. C. Pires and P. Edgar
CRNC	Core Eudicots/Rosids	Limnanthaceae	Limnanthes douglasii	young leaves	sequenced	PPE-2012-1000-0006 (UMO)	J. C. Pires and P. Edgar	J. C. Pires and P. Edgar
CZPV	Core Eudicots/Rosids	Moringaceae	Moringa oleifera	leaves and young flowers	sequenced	Soltis and Miles 2762	D. Soltis	BGI
SWPE	Core Eudicots/Rosids	Resedaceae	Reseda odorata	young leaves	sequenced	PPE-2012-1000-0007 (UMO)	J. C. Pires and P. Edgar	J. C. Pires and P. Edgar
RTTY	Core Eudicots/Rosids	Salvadoraceae	Salvadora sp.	leaf shoots	sequenced	JLM2013-64 (GA)	J. Leebens-Mack	J. Leebens-Mack
MYZV	Core Eudicots/Rosids	Tropaeolaceae	Tropaeolum peregrinum	young leaves	sequenced	PPE-2012-1000-0008 (UMO)	J. C. Pires and P. Edgar	J. C. Pires and P. Edgar
KPTE	Core Eudicots/Rosids	Bixaceae	Bixa orellana	young leaves	sequenced	Soltis and Miles 2985	D. Soltis	D. Soltis
PKMO	Core Eudicots/Rosids	Cistaceae	Cistus inflatus	young shoot	sequenced	JLM2013-28 (GA)	J. Leebens-Mack	J. Leebens-Mack
OLXF	Core Eudicots/Rosids	Malvaceae	Hibiscus cannabinus	shoot apex including nascent leaves and woody stem	sequenced	132734 (ALTA)	M. Deyholos	M. Deyholos
WYIG	Core Eudicots/Rosids	Malvaceae	Dombeya burgessiae	leaf and buds/flowers	sequenced	C. Skema & J. Tate 512 (MPN)	J. Tate	BGI
ZSAB	Core Eudicots/Rosids	Malvaceae	Hoheria angustifolia	leaf and buds/flowers	sequenced	C. Skema 499 (MPN)	J. Tate	BGI
ATFX	Core Eudicots/Rosids	Muntingiaceae	Muntingia calabura	young leaves	sequenced	Soltis & Miles 2984	D. Soltis	D. Soltis
WMUK	Core Eudicots/Rosids	Sarcolaenaceae	Schizolaena sp.		sequenced		J. Leebens-Mack	J. Leebens-Mack
PUDI	Core Eudicots/Rosids	Thymelaeaceae	Daphne giraldii	leaves	sequenced	R. Mindell & B.C. Zhuang 35638 (UBC)	S. Graham	S. Graham
QJXB	Core Eudicots/Rosids	Thymelaeaceae	Wikstroemia indica	young shoots	sequenced	JLM2013-74 (GA)	J. Leebens-Mack	J. Leebens-Mack
AWJM	Core Eudicots/Rosids	Thymelaeaceae	Edgeworthia papyrifera	flower buds	sequenced	JLM2013-38 (GA)	J. Leebens-Mack	J. Leebens-Mack
YUOM	Core Eudicots/Rosids	Anacardiaceae	Rhus radicans	leaves and stems	sequenced	Stewart and Burris	N. Stewart	BGI
WAXR	Core Eudicots/Rosids	Anacardiaceae	Litchi chinensis	young leaves	sequenced	T. Chen et. al. 2010090807	Tao Chen	BGI
JSZD	Core Eudicots/Rosids	Burseraceae	Bursera simaruba		sequenced	Soltis and Miles 2649	D. Soltis	BGI
FCCA	Core Eudicots/Rosids	Burseraceae	Boswellia sacra	leaves	sequenced	Chase 34495 K	M. Chase	BGI
BCAA	Core Eudicots/Rosids	Kirkiacae	Kirkia wilmsii	young leaves	sequenced	Soltis and Miles 2982	D. Soltis	D. Soltis
UVDC	Core Eudicots/Rosids	Meliaceae	Azadirachta indica	young leaf shoots/ lvs = flws	sequenced	Soltis and Miles 2828	D. Soltis	BGI
CAIX	Core Eudicots/Rosids	Meliaceae	Melia azedarach	young leaves	sequenced	Soltis and Miles 2961	D. Soltis	D. Soltis
VCCF	Core Eudicots/Rosids	Meliaceae	Melia azedarach	young leaves	sequenced	Soltis and Miles 2961	D. Soltis	D. Soltis
OBTI	Core Eudicots/Rosids	Nitrariaceae	Peganum harmala		sequenced		J. Leebens-Mack	J. Leebens-Mack
UHJR	Core Eudicots/Rosids	Rutaceae	Citrus x paradisi	leaves	sequenced	Soltis and Miles 2851	D. Soltis	BGI
PGKL	Core Eudicots/Rosids	Rutaceae	Phellodendron amurense	leaves	sequenced	Chase 33160 K	M. Chase	BGI
HBHB	Core Eudicots/Rosids	Sapindaceae	Aesculus pavia	very young lvs; possibly some v. young inflorescen	sequenced	Soltis and Miles 2821	D. Soltis	BGI
VFFP	Core Eudicots/Rosids	Sapindaceae	Acer negundo	young leaves and flowers	sequenced	Soltis and Miles 2917	D. Soltis	BGI
IKFD	Core Eudicots/Rosids	Simaroubaceae	Quassia amara	leaves	sequenced	Chase 34485 K	M. Chase	BGI
QICX	Core Eudicots/Rosids	Simaroubaceae	Ailanthus altissima	leaves	sequenced	Soltis and Miles 2826	D. Soltis	BGI
BFJL	Core Eudicots/Asterids	Cornaceae	Cornus florida	leaves	sequenced	Soltis and Miles 2781	D. Soltis	J. Leebens-Mack
XONJ	Core Eudicots/Asterids	[Nyssaceae]	Camptotheca acuminata	young leaves	sequenced	T. Chen et. al. 2010090801	Tao Chen	BGI
VUSY	Core Eudicots/Asterids	[Nyssaceae]	Nyssa ogeche	young leaves	sequenced	Soltis and Miles 2942	D. Soltis	D. Soltis
UZNH	Core Eudicots/Asterids	Curtisiaceae	Curtisia dentata	leaves	sequenced	T. McLellan (J)	Tracy McLellan	BGI
QURC	Core Eudicots/Asterids	Hydrangeaceae	Dichroa febrifuga	leaf and flower buds	sequenced	ABG	D. Soltis	BGI
ZETY	Core Eudicots/Asterids	Hydrangeaceae	Hydrangea quercifolia	emerging leaves	sequenced	Soltis and Miles 2854	J. Leebens-Mack	J. Leebens-Mack
BTZX	Core Eudicots/Asterids	Hydrangeaceae	Philadelphus inodorus	young leaves	sequenced	Soltis and Miles 2953	D. Soltis	D. Soltis
OTAN	Core Eudicots/Asterids	Hydrangeaceae	Deutzia scabra	young leaves flower buds	sequenced	Soltis and Miles 2965	D. Soltis	D. Soltis
VTLJ	Core Eudicots/Asterids	Loasaceae	Caiophora chuquitensis	"leaves	 stem	 flower"	sequenced	132723 (ALTA)	M. Deyholos	M. Deyholos
QAUE	Core Eudicots/Asterids	Actinidiaceae	Actinidia chinensis	young leaves	sequenced	Soltis and Miles 2848	D. Soltis	D. Soltis
JEXA	Core Eudicots/Asterids	Balsaminaceae	Impatiens balsamifera	"shoot (flowers	 floral buds	 stem	 leaves)"	sequenced	132736 (ALTA)	M. Deyholos	M. Deyholos
YZGX	Core Eudicots/Asterids	Cyrillaceae	Cyrilla racemiflora	young leaves and young flowers	sequenced	Soltis and Miles 2923	D. Soltis	D. Soltis
ADHK	Core Eudicots/Asterids	Diapensiaceae	Galax urceolata	leaves - diploid	sequenced	in preparation	D. Soltis	BGI
UFHF	Core Eudicots/Asterids	Diapensiaceae	Galax urceolata	leaves - tetraploid	sequenced	in preparation	D. Soltis	BGI
KVFU	Core Eudicots/Asterids	Ebenaceae	Diospyros malabarica	leaves	sequenced	Soltis and Miles 2765	D. Soltis	BGI
WXVX	Core Eudicots/Asterids	Ericaceae	Ledum palustre	leaves	sequenced	132770 (ALTA)	M. Deyholos	M. Deyholos
AVJK	Core Eudicots/Asterids	Ericaceae	Cavendishia cuatrecasasii	vegetative shoots and flower buds	sequenced	JLM2013-26 (GA)	J. Leebens-Mack	J. Leebens-Mack
PPPZ	Core Eudicots/Asterids	Ericaceae	Rhododendron scopulorum	leaves	sequenced	Chase 34477 K	M. Chase	BGI
SERM	Core Eudicots/Asterids	Ericaceae	Sarcodes sanguinea	above ground / infloresence	sequenced	CWD 2012.5	C. DePamphilis	C. DePamphilis
LRTN	Core Eudicots/Asterids	Ericaceae	Monotropa uniflora	above ground tissue mix	sequenced	CWD 2012.8	C. DePamphilis	C. DePamphilis
YSRZ	Core Eudicots/Asterids	Fouquieriaceae	Fouquieria macdougalii	young leaves	sequenced	Soltis and Miles 2920	D. Soltis	BGI
DTOA	Core Eudicots/Asterids	Maesaceae	Maesa lanceolata		sequenced		J. Leebens-Mack	J. Leebens-Mack
BNTL	Core Eudicots/Asterids	Marcgraviaceae	Souroubea exauriculata	leaves	sequenced	Soltis and Miles 2772	D. Soltis	BGI
DAAD	Core Eudicots/Asterids	Myrsinaceae	Ardisia revoluta	leaves and flowers	sequenced	DWS FTG 59-825B	D. W. Stevenson	BGI
ODDO	Core Eudicots/Asterids	Myrsinaceae	Ardisia humilis	young leaves	sequenced	Soltis and Miles 2925	D. Soltis	J. Leebens-Mack
NGRR	Core Eudicots/Asterids	Pentaphylacaceae	Ternstroemia gymnanthera	leaves	sequenced	Soltis and Miles 2776	D. Soltis	BGI
WVMY	Core Eudicots/Asterids	Polemoniaceae	Phlox drummondii		sequenced	Soltis and Miles 2789	D. Soltis	BGI
FNEN	Core Eudicots/Asterids	Polemoniaceae	Phlox sp.	young leaves and flower buds	sequenced		D. Soltis	BGI
OJCW	Core Eudicots/Asterids	Primulaceae	Maesa lanceolata	leaves	sequenced	Chase 34468 K	M. Chase	BGI
HUSX	Core Eudicots/Asterids	Roridulaceae	Roridula gorgonias	leaves	sequenced	Chase 33140	M. Chase	BGI
WRPP	Core Eudicots/Asterids	Sapotaceae	Synsepalum dulcificum	vegetative shoots and flower buds	sequenced	JLM2013-69 (GA)	J. Leebens-Mack	J. Leebens-Mack
BEFC	Core Eudicots/Asterids	Sapotaceae	Manilkara zapota	young leaves	sequenced	Soltis and Miles 2815	D. Soltis	BGI
OXYP	Core Eudicots/Asterids	Sapotaceae	Sideroxylon reclinatum	young leaves	sequenced	Soltis and Miles 2900	D. Soltis	BGI
AXBO	Core Eudicots/Asterids	Styracaceae	Sinojackia xylocarpa	"very young leaves	 some flower buds"	sequenced	Soltis and Miles 2782	J. Leebens-Mack	J. Leebens-Mack
JPDJ	Core Eudicots/Asterids	Symplocaceae	Symplocos tinctoria	young leaves	sequenced	Soltis and Miles 2936	J. Leebens-Mack	J. Leebens-Mack
PTFA	Core Eudicots/Asterids	Theophrastaceae	Jacquinia sp.	leaves	sequenced	Soltis and Miles 2775	D. Soltis	BGI
VJSJ	Core Eudicots/Asterids	Boraginaceae	Heliotropium calcicola	leaves	sequenced	in preparation	R. Sage	BGI
NJJO	Core Eudicots/Asterids	Apodanthaceae	Pilostyles thurberi	flower buds	sequenced	in preparation	C. dePamphilis	C. dePamphilis
JWEY	Core Eudicots/Asterids	Boraginaceae	Heliotropium tenuifolium	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
EIGQ	Core Eudicots/Asterids	Boraginaceae	Heliotropium calcicola	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
RGMN	Core Eudicots/Asterids	Boraginaceae	Heliotropium calcicola	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
OUER	Core Eudicots/Asterids	Boraginaceae	Heliotropium convolvulaceum	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
XKVX	Core Eudicots/Asterids	Boraginaceae	Heliotropium filiforme	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
IPPG	Core Eudicots/Asterids	Boraginaceae	Heliotropium filiforme	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
ABEH	Core Eudicots/Asterids	Boraginaceae	Heliotropium greggii	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
NIGS	Core Eudicots/Asterids	Boraginaceae	Heliotropium karwinskyi	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
MZOB	Core Eudicots/Asterids	Boraginaceae	Heliotropium mendocinum	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
IDGE	Core Eudicots/Asterids	Boraginaceae	Heliotropium racemosum	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
DIHD	Core Eudicots/Asterids	Boraginaceae	Heliotropium tenellum	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
IWJG	Core Eudicots/Asterids	Boraginaceae	Heliotropium texanum	juvenile leaf	sequenced		J. Hibberd	J. Hibberd
CSWE	Core Eudicots/Asterids	Boraginaceae	Heliotropium texanum	mature leaf	sequenced		J. Hibberd	J. Hibberd
EMAL	Core Eudicots/Asterids	Boraginaceae	Ehretia acuminata	leaves	sequenced	Soltis and Miles 2838	D. Soltis	BGI
DKFZ	Core Eudicots/Asterids	Boraginaceae	Mertensia paniculata	"flowers	 stems	 leaves"	sequenced	132747 (ALTA)	M. Deyholos	M. Deyholos
YQIJ	Core Eudicots/Asterids	Boraginaceae	Phacelia campanularia	"stem apex	 leaves	 flowers"	sequenced	M.K. Deyholos 2016-111	M. Deyholos	J. McDill
SMUR	Core Eudicots/Asterids	Boraginaceae	Lennoa madreporoides	above ground / infloresence	sequenced	CWD 2012.6	C. DePamphilis	C. DePamphilis
HANM	Core Eudicots/Asterids	Boraginaceae	Pholisma arenarium	above ground / infloresence	sequenced	CWD+RAS 2012.7	C. DePamphilis	C. DePamphilis
QZZU	Core Eudicots/Asterids	Icacinaceae	Pyrenacantha malvifolia		sequenced		J. Leebens-Mack	J. Leebens-Mack
SZUO	Core Eudicots/Asterids	Eucommiaceae	Eucommia ulmoides	leaves	sequenced	DWS NY 35191A	D. W. Stevenson	BGI
GIPR	Core Eudicots/Asterids	Garryaceae	Aucuba japonica	young leaves and flowers	sequenced	DWS NY 994/96	D. W. Stevenson	BGI
PVGM	Core Eudicots/Asterids	Oncothecaceae	Oncotheca balansae		sequenced		J. Leebens-Mack	J. Leebens-Mack
MGVU	Core Eudicots/Asterids	Apocynaceae	Allamanda cathartica	"flower	 floral buds	 leaves and stem"	sequenced	132715 (ALTA)	M. Deyholos	M. Deyholos
UOYN	Core Eudicots/Asterids	Apocynaceae	Catharanthus roseus	"flower	 floral buds	 leaves and stem"	sequenced	132724 (ALTA)	M. Deyholos	M. Deyholos
JCLQ	Core Eudicots/Asterids	Apocynaceae	Apocynum androsaemifolium	shoot with flowers	sequenced	in preparation	M. Deyholos	M. Deyholos
UFQC	Core Eudicots/Asterids	Apocynaceae	Apocynum androsaemifolium	shoot with flowers	sequenced	in preparation	M. Deyholos	M. Deyholos
QEHE	Core Eudicots/Asterids	Apocynaceae	Rauvolfia tetraphylla	young leaves and flower buds	sequenced	Soltis and Miles 2812	D. Soltis	BGI
YADI	Core Eudicots/Asterids	Apocynaceae	Asclepias syriaca		sequenced		J. Leebens-Mack	J. Leebens-Mack
DSUV	Core Eudicots/Asterids	Apocynaceae	Asclepias curassavica	"flowers	 young stem and young leaves"	sequenced	132717 (ALTA)	M. Deyholos	M. Deyholos
EDEQ	Core Eudicots/Asterids	Apocynaceae	Wrightia natalensis	leaf	sequenced		M. Deyholos	Yu Yang
JGYZ	Core Eudicots/Asterids	Apocynaceae	Holarrhena pubescens	leaf	sequenced		M. Deyholos	Yu Yang
HGSM	Core Eudicots/Asterids	Gelsemiaceae	Gelsemium sempervirens	young leaves	sequenced	Soltis and Miles 2927	D. Soltis	D. Soltis
KPUM	Core Eudicots/Asterids	Gentianaceae	Exacum affine	"flowers	 floral buds	 stem	 leaves"	sequenced	132730 (ALTA)	M. Deyholos	M. Deyholos
ECTD	Core Eudicots/Asterids	Gentianaceae	Gentiana acaulis	leaves and flower buds	sequenced	Chase 34438 K	M. Chase	BGI
GGJD	Core Eudicots/Asterids	Loganiaceae	Strychnos spinosa	leaves	sequenced	Soltis and Miles 2825	D. Soltis	BGI
BQEQ	Core Eudicots/Asterids	Rubiaceae	Psychotria ipecacuanha	invitro plantlet	sequenced	unvouchered culture	T. Kutchan	T. Kutchan
JOPH	Core Eudicots/Asterids	Rubiaceae	Psychotria ipecacuanha	root culture	sequenced	unvouchered culture	T. Kutchan	T. Kutchan
ULGV	Core Eudicots/Asterids	Rubiaceae	Morinda citrifolia	leaves	sequenced	Chase 34483 K	M. Chase	BGI
WQRD	Core Eudicots/Asterids	Rubiaceae	Galium boreale	shoot and roots	sequenced	132732 (ALTA)	M. Deyholos	M. Deyholos
PCNH	Core Eudicots/Asterids	Rubiaceae	Psychotria marginata	Leaf and flower buds	sequenced		J. Leebens-Mack	J. Leebens-Mack
DNQA	Core Eudicots/Asterids	Rubiaceae	Psychotria douarrei	seed	sequenced		M. Villegente	M. Villegente
WEAC	Core Eudicots/Asterids	Acanthaceae	Strobilanthes dyeriana	young leaves	sequenced	Soltis and Miles 2958	D. Soltis	D. Soltis
AYIY	Core Eudicots/Asterids	Acanthaceae	Ruellia brittoniana	young leaves	sequenced	Soltis and Miles 2962	D. Soltis	BGI
PCGJ	Core Eudicots/Asterids	Acanthaceae	Anisacanthus quadrifidus	young leaves	sequenced	Soltis and Miles 2970	D. Soltis	BGI
NBMW	Core Eudicots/Asterids	Acanthaceae	Sanchezia sp.	leaf	sequenced	M.K. Deyholos 2016-112	M. Deyholos	Yu Yang
TKEK	Core Eudicots/Asterids	Bignoniaceae	Mansoa alliacea	young leaves	sequenced	Soltis and Miles 2915	D. Soltis	BGI
UTQR	Core Eudicots/Asterids	Bignoniaceae	Tabebuia umbellata	young leaves	sequenced	Soltis and Miles 2926	J. Leebens-Mack	J. Leebens-Mack
SVQC	Core Eudicots/Asterids	Bignoniaceae	Kigelia africana	young leaves	sequenced	Soltis and Miles 2992	D. Soltis	D. Soltis
QKEI	Core Eudicots/Asterids	Bignoniaceae	Kigelia africana	young leaves	sequenced	Soltis and Miles 2992	D. Soltis	D. Soltis
